(4, 758)
(4, 481)
(3, 209)
(4, 704)
(4, 804)
(2, 410)
(3, 227)
(4, 242)
(2, 165)
(1, 859)
(4, 607)
(1, 321)
(3, 599)
(2, 302)
(3, 494)
(3, 789)
(1, 196)
(4, 965)
(1, 459)
(1, 317)
(1, 275)
(1, 397)
(1, 116)
(1, 974)
(1, 335)
(1, 395)
(1, 558)
(1, 105)
(1, 406)
(1, 131)
(1, 392)
(1, 464)
(1, 929)
(1, 634)
(1, 938)
(1, 264)
(1, 756)
(1, 352)
(1, 960)
(1, 785)
(1, 939)
(1, 731)
(1, 131)
(1, 952)
(1, 880)
(1, 861)
(1, 120)
(1, 188)
(1, 529)
(1, 284)
(1, 209)
(1, 239)
(1, 248)
(1, 109)
(1, 373)
(1, 762)
(1, 505)
(1, 115)
(1, 228)
(1, 967)
(1, 510)
(1, 168)
(2, 714)
(3, 316)
